Posição,Jogador,País,Posição Campo,Velocidade média (km/h),Corridas em alta velocidade,Arrancadas,Distância total (m)
893,Ahmed Alganehi,QAT,MF,2.04,51,24,4200.63
894,Alexis Vega,MEX,FW,2.04,28,10,1915.42
895,Dennis Hadzikadunic,BIH,DF,2.02,32,11,3338.81
896,Luiz Henrique,BRA,FW,2.0,60,26,3896.86
897,Lyle Foster,RSA,FW,1.99,66,16,5968.5
898,Alhashmi Alhussein,QAT,DF,1.97,50,20,4072.3
899,Armando Gonzalez,MEX,FW,1.96,25,14,2086.01
900,Stjepan Radeljic,BIH,DF,1.95,107,27,9901.91
901,Redouane Halhal,MAR,DF,1.92,85,32,9908.08
902,Scott Mckenna,SCO,DF,1.87,63,17,9598.73
903,Nkosinathi Sibisi,RSA,DF,1.86,101,38,9387.59
904,Gessime Yassine,MAR,MF,1.84,23,15,2611.69
905,Luis Chavez,MEX,MF,1.82,42,16,2876.74
906,Moise Bombito,CAN,DF,1.8,45,12,4895.46
907,Duckens Nazon,HAI,FW,1.63,27,8,2597.09
908,Ahmed Basil,IRQ,GK,1.45,7,1,4611.44
909,Utkir Yusupov,UZB,GK,1.45,7,1,5094.43
910,Jalal Hassan,IRQ,GK,1.42,5,2,4901.15
911,Mory Diaw,SEN,GK,1.41,2,0,1778.02
912,Lawrence Ati Zigi,GHA,GK,1.36,1,1,2286.73
913,Abduvohid Nematov,UZB,GK,1.33,11,1,4482.47
914,Guillermo Ochoa,MEX,GK,1.23,5,0,1147.02
915,Aymen Dahmen,TUN,GK,1.19,2,0,3983.98
916,Mouhib Chamakh,TUN,GK,1.16,4,0,3891.4
917,Joel Waterman,CAN,DF,0.0,0,0,0.0
917,Oumar Diakite,CIV,FW,0.0,0,0,0.0
917,Mamadou Sarr,SEN,DF,0.0,0,0,0.0
917,Alexandre Pierre,HAI,GK,0.0,0,0,0.0
917,Alban Lafont,CIV,GK,0.0,0,0,0.0
917,Ousmane Diomande,CIV,DF,0.0,0,0,0.0
917,Mohamed Kone,CIV,GK,0.0,0,0,0.0
917,Moutaz Neffati,TUN,DF,0.0,0,0,0.0
917,Olwethu Makhanya,RSA,DF,0.0,0,0,0.0
917,Khulumani Ndamane,RSA,DF,0.0,0,0,0.0
917,Youssef Belammari,MAR,DF,0.0,0,0,0.0
917,Rayan Elloumi,TUN,FW,0.0,0,0,0.0
917,Dayne St Clair,CAN,GK,0.0,0,0,0.0
917,Raed Chikhaoui,TUN,DF,0.0,0,0,0.0
917,Mohamed Elshenawy,EGY,GK,0.0,0,0,0.0
917,Adam Arous,TUN,DF,0.0,0,0,0.0
917,Jean Michael Seri,CIV,MF,0.0,0,0,0.0
917,Owen Goodman,CAN,GK,0.0,0,0,0.0
917,Christopher Operi,CIV,DF,0.0,0,0,0.0
917,Abdoulaye Seck,SEN,DF,0.0,0,0,0.0
917,Wilguens Paugain,HAI,DF,0.0,0,0,0.0
917,Zakaria El Ouahdi,MAR,DF,0.0,0,0,0.0
917,Alphonso Davies,CAN,DF,0.0,0,0,0.0
917,Alidu Seidu,GHA,DF,0.0,0,0,0.0
917,Ricardo Goss,RSA,GK,0.0,0,0,0.0
917,Khalil Ayari,TUN,MF,0.0,0,0,0.0
917,Carl Sainte,HAI,MF,0.0,0,0,0.0
917,Thabang Matuludi,RSA,DF,0.0,0,0,0.0
917,Mohamed Alaa,EGY,GK,0.0,0,0,0.0
917,Bara Sapoko Ndiaye,SEN,MF,0.0,0,0,0.0
917,Garven Metusala,HAI,DF,0.0,0,0,0.0
917,Hazem Mastouri,TUN,FW,0.0,0,0,0.0
917,Derrick Luckassen,GHA,DF,0.0,0,0,0.0
917,Mortadha Ben Ouanes,TUN,DF,0.0,0,0,0.0
917,Augustine Boakye,GHA,MF,0.0,0,0,0.0
917,Markhus Lacroix,HAI,DF,0.0,0,0,0.0
917,Cherif Ndiaye,SEN,FW,0.0,0,0,0.0
917,Woodensky Pierre,HAI,MF,0.0,0,0,0.0
917,Bradley Cross,RSA,DF,0.0,0,0,0.0
917,Keeto Thermoncy,HAI,DF,0.0,0,0,0.0
917,Wagner Pina,CPV,DF,0.0,0,0,0.0
917,Samukele Kabini,RSA,DF,0.0,0,0,0.0
917,Yehvann Diouf,SEN,GK,0.0,0,0,0.0
917,Antoine Mendy,SEN,DF,0.0,0,0,0.0
917,Jayden Nelson,CAN,FW,0.0,0,0,0.0
917,Kelvin Pires,CPV,DF,0.0,0,0,0.0
917,Mahmoud Saber,EGY,MF,0.0,0,0,0.0
917,Sipho Chaine,RSA,GK,0.0,0,0,0.0
917,Evan Ndicka,CIV,DF,0.0,0,0,0.0
917,Parfait Guiagon,CIV,MF,0.0,0,0,0.0
917,Nabil Donga,EGY,MF,0.0,0,0,0.0
917,Alfie Jones,CAN,DF,0.0,0,0,0.0
917,Ahmed Reda Tagnaouti,MAR,GK,0.0,0,0,0.0
917,Sabri Ben Hessen,TUN,GK,0.0,0,0,0.0
917,Abdul Mumin,GHA,DF,0.0,0,0,0.0
917,Assane Diao,SEN,FW,0.0,0,0,0.0
917,Tarek Alaa,EGY,DF,0.0,0,0,0.0
917,Joseph Anang,GHA,GK,0.0,0,0,0.0
917,Munir El Kajoui,MAR,GK,0.0,0,0,0.0
917,Christopher Bonsu Baah,GHA,FW,0.0,0,0,0.0
917,Mahdy Soliman,EGY,GK,0.0,0,0,0.0
917,Haissem Hassan,EGY,FW,0.0,0,0,0.0
917,Josue Duverger,HAI,GK,0.0,0,0,0.0
917,Santiago Arias,COL,DF,0.0,0,0,0.0
917,Edgardo Farina,PAN,DF,0.0,0,0,0.0
917,Gatito Fernandez,PAR,GK,0.0,0,0,0.0
917,Cristian Roldan,USA,MF,0.0,0,0,0.0
917,Yaimar Medina,ECU,DF,0.0,0,0,0.0
917,Santiago Bueno,URU,DF,0.0,0,0,0.0
917,Brenden Aaronson,USA,FW,0.0,0,0,0.0
917,Rodrigo Zalazar,URU,MF,0.0,0,0,0.0
917,Cesar Samudio,PAN,GK,0.0,0,0,0.0
917,Kendry Paez,ECU,MF,0.0,0,0,0.0
917,Braian Ojeda,PAR,MF,0.0,0,0,0.0
917,Max Arfsten,USA,DF,0.0,0,0,0.0
917,David Ospina,COL,GK,0.0,0,0,0.0
917,Mark Mckenzie,USA,DF,0.0,0,0,0.0
917,Valentin Barco,ARG,MF,0.0,0,0,0.0
917,Alessandro Schoepf,AUT,MF,0.0,0,0,0.0
917,Sergio Rochet,URU,GK,0.0,0,0,0.0
917,Juan Portilla,COL,MF,0.0,0,0,0.0
917,Jose Maria Gimenez,URU,DF,0.0,0,0,0.0
917,Ederson,BRA,GK,0.0,0,0,0.0
917,Juan Musso,ARG,GK,0.0,0,0,0.0
917,Geronimo Rulli,ARG,GK,0.0,0,0,0.0
917,Facundo Pellistri,URU,FW,0.0,0,0,0.0
917,Exequiel Palacios,ARG,MF,0.0,0,0,0.0
917,Gaston Olveira,PAR,GK,0.0,0,0,0.0
917,Matt Turner,USA,GK,0.0,0,0,0.0
917,Denil Castillo,ECU,MF,0.0,0,0,0.0
917,Giorgian De Arrascaeta,URU,MF,0.0,0,0,0.0
917,Felix Torres,ECU,DF,0.0,0,0,0.0
917,Marcos Senesi,ARG,DF,0.0,0,0,0.0
917,Moises Ramirez,ECU,GK,0.0,0,0,0.0
917,Miles Robinson,USA,DF,0.0,0,0,0.0
917,Gonzalo Valle,ECU,GK,0.0,0,0,0.0
917,Jose Manuel Lopez,ARG,FW,0.0,0,0,0.0
917,Weverton,BRA,GK,0.0,0,0,0.0
917,Chris Brady,USA,GK,0.0,0,0,0.0
917,Santiago Mele,URU,GK,0.0,0,0,0.0
917,Bremer,BRA,DF,0.0,0,0,0.0
917,Adalberto Carrasquilla,PAN,MF,0.0,0,0,0.0
917,Ronald Araujo,URU,DF,0.0,0,0,0.0
917,Willer Ditta,COL,DF,0.0,0,0,0.0
917,Jorge Carrascal,COL,MF,0.0,0,0,0.0
917,Yerry Mina,COL,DF,0.0,0,0,0.0
917,Emiliano Martinez,URU,MF,0.0,0,0,0.0
917,Fidel Escobar,PAN,DF,0.0,0,0,0.0
917,Giovani Lo Celso,ARG,MF,0.0,0,0,0.0
917,Alberto Quintero,PAN,MF,0.0,0,0,0.0
917,Leo Pereira,BRA,DF,0.0,0,0,0.0
917,Gustavo Caballero,PAR,MF,0.0,0,0,0.0
917,Alvaro Montero,COL,GK,0.0,0,0,0.0
917,Deiver Machado,COL,DF,0.0,0,0,0.0
917,Jeremy Arevalo,ECU,FW,0.0,0,0,0.0
917,Cesar Yanis,PAN,MF,0.0,0,0,0.0
917,Fabian Balbuena,PAR,DF,0.0,0,0,0.0
917,Roderick Miller,PAN,DF,0.0,0,0,0.0
917,Jorge Gutierrez,PAN,DF,0.0,0,0,0.0
917,Joaquin Piquerez,URU,MF,0.0,0,0,0.0
917,Giuliano Simeone,ARG,FW,0.0,0,0,0.0
917,Carlos Acevedo,MEX,GK,0.0,0,0,0.0
917,Alex Zendejas,USA,FW,0.0,0,0,0.0
917,Anthony Valencia,ECU,MF,0.0,0,0,0.0
917,Luis Mejia,PAN,GK,0.0,0,0,0.0
917,Tyrick Bodak,CUW,GK,0.0,0,0,0.0
917,Mladen Jurkas,BIH,GK,0.0,0,0,0.0
917,Trevor Doornbusch,CUW,GK,0.0,0,0,0.0
917,Martin Zlomislic,BIH,GK,0.0,0,0,0.0
917,Kevin Felida,CUW,MF,0.0,0,0,0.0
917,Tyrese Noslin,CUW,FW,0.0,0,0,0.0
917,Brandley Kuwas,CUW,FW,0.0,0,0,0.0
917,Shurandy Sambo,CUW,DF,0.0,0,0,0.0
917,Arjany Martha,CUW,MF,0.0,0,0,0.0
917,Yvon Mvogo,SUI,GK,0.0,0,0,0.0
917,Altay Bayindir,TUR,GK,0.0,0,0,0.0
917,Aurele Amenda,SUI,DF,0.0,0,0,0.0
917,Herman Johansson,SWE,DF,0.0,0,0,0.0
917,Lucas Herrington,AUS,DF,0.0,0,0,0.0
917,Marc Pubill,ESP,DF,0.0,0,0,0.0
917,Caglar Soyuncu,TUR,DF,0.0,0,0,0.0
917,Tyler Fletcher,SCO,MF,0.0,0,0,0.0
917,Irfan Can Kahveci,TUR,FW,0.0,0,0,0.0
917,John Souttar,SCO,DF,0.0,0,0,0.0
917,Haris Tabakovic,BIH,FW,0.0,0,0,0.0
917,Eric Garcia,ESP,DF,0.0,0,0,0.0
917,Jan Kuchta,CZE,FW,0.0,0,0,0.0
917,Carl Starfelt,SWE,DF,0.0,0,0,0.0
917,Lachlan Bayliss,NZL,MF,0.0,0,0,0.0
917,Milos Degenek,AUS,DF,0.0,0,0,0.0
917,Nando Pijnaker,NZL,DF,0.0,0,0,0.0
917,Hugo Sochurek,CZE,MF,0.0,0,0,0.0
917,Awer Mabil,AUS,FW,0.0,0,0,0.0
917,Hjalmar Ekdal,SWE,DF,0.0,0,0,0.0
917,Paul Izzo,AUS,GK,0.0,0,0,0.0
917,Kai Trewin,AUS,DF,0.0,0,0,0.0
917,Mathew Ryan,AUS,GK,0.0,0,0,0.0
917,Cameron Devlin,AUS,MF,0.0,0,0,0.0
917,Gustaf Nilsson,SWE,FW,0.0,0,0,0.0
917,Liam Kelly,SCO,GK,0.0,0,0,0.0
917,Lukas Hornicek,CZE,GK,0.0,0,0,0.0
917,Umar Eshmurodov,UZB,DF,0.0,0,0,0.0
917,Victor Munoz,ESP,FW,0.0,0,0,0.0
917,Alex Paulsen,NZL,GK,0.0,0,0,0.0
917,Alex Grimaldo,ESP,DF,0.0,0,0,0.0
917,David Raya,ESP,GK,0.0,0,0,0.0
917,Michael Woud,NZL,GK,0.0,0,0,0.0
917,Joan Garcia,ESP,GK,0.0,0,0,0.0
917,Kosta Barbarouses,NZL,FW,0.0,0,0,0.0
917,Jacob Widell Zetterstrom,SWE,GK,0.0,0,0,0.0
917,David Jurasek,CZE,DF,0.0,0,0,0.0
917,Botirali Ergashev,UZB,GK,0.0,0,0,0.0
917,Jindrich Stanek,CZE,GK,0.0,0,0,0.0
917,Ajdin Hrustic,AUS,FW,0.0,0,0,0.0
917,Samet Akaydin,TUR,DF,0.0,0,0,0.0
917,George Hirst,SCO,FW,0.0,0,0,0.0
917,Eric Smith,SWE,DF,0.0,0,0,0.0
917,Logan Rogerson,NZL,FW,0.0,0,0,0.0
917,Dominic Hyam,SCO,DF,0.0,0,0,0.0
917,Avazbek Ulmasaliyev,UZB,DF,0.0,0,0,0.0
917,Marvin Keller,SUI,GK,0.0,0,0,0.0
917,Ozan Kabak,TUR,DF,0.0,0,0,0.0
917,Martin Zubimendi,ESP,MF,0.0,0,0,0.0
917,Noah Okafor,SUI,FW,0.0,0,0,0.0
917,Ken Sema,SWE,MF,0.0,0,0,0.0
917,Oguz Aydin,TUR,FW,0.0,0,0,0.0
917,Viktor Johansson,SWE,GK,0.0,0,0,0.0
917,Alex Rufer,NZL,MF,0.0,0,0,0.0
917,Eray Coemert,SUI,DF,0.0,0,0,0.0
917,Borja Iglesias,ESP,FW,0.0,0,0,0.0
917,Nihad Mujakic,BIH,DF,0.0,0,0,0.0
917,Mert Gunok,TUR,GK,0.0,0,0,0.0
917,Kaan Ayhan,TUR,MF,0.0,0,0,0.0
917,Ben Waine,NZL,FW,0.0,0,0,0.0
917,Jamshid Iskanderov,UZB,MF,0.0,0,0,0.0
917,Amer Jamous,JOR,MF,0.0,0,0,0.0
917,Dylan Batubinsika,COD,DF,0.0,0,0,0.0
917,Oussama Benbot,ALG,GK,0.0,0,0,0.0
917,Meshaal Barsham,QAT,GK,0.0,0,0,0.0
917,Jo Hyeonwoo,KOR,GK,0.0,0,0,0.0
917,Mohamed Amine Tougai,ALG,DF,0.0,0,0,0.0
917,Timothy Fayulu,COD,GK,0.0,0,0,0.0
917,Frans Putros,IRQ,DF,0.0,0,0,0.0
917,Melvin Mastil,ALG,GK,0.0,0,0,0.0
917,Ziyad Aljohani,KSA,MF,0.0,0,0,0.0
917,Mohammad Ghorbani,IRN,MF,0.0,0,0,0.0
917,Ali Majrashi,KSA,DF,0.0,0,0,0.0
917,Cho Wije,KOR,DF,0.0,0,0,0.0
917,Hossein Hosseini,IRN,GK,0.0,0,0,0.0
917,Mohammed Muntari,QAT,FW,0.0,0,0,0.0
917,Cj Dos Santos,CPV,GK,0.0,0,0,0.0
917,Aiman Yahya,KSA,FW,0.0,0,0,0.0
917,Ahmed Maknazi,IRQ,DF,0.0,0,0,0.0
917,Mohammad Abughoush,JOR,MF,0.0,0,0,0.0
917,Bae Junho,KOR,MF,0.0,0,0,0.0
917,Roozbeh Cheshmi,IRN,MF,0.0,0,0,0.0
917,Matthieu Epolo,COD,GK,0.0,0,0,0.0
917,Song Bumkeun,KOR,GK,0.0,0,0,0.0
917,Saleh Alshehri,KSA,FW,0.0,0,0,0.0
917,Lee Donggyeong,KOR,MF,0.0,0,0,0.0
917,Dennis Dargahi,IRN,FW,0.0,0,0,0.0
917,Theo Bongonda,COD,MF,0.0,0,0,0.0
917,Salah Zakaria,QAT,GK,0.0,0,0,0.0
917,Fahad Talib,IRQ,GK,0.0,0,0,0.0
917,Ahmed Alkassar,KSA,GK,0.0,0,0,0.0
917,Fiston Mayele,COD,FW,0.0,0,0,0.0
917,Rajaei Ayed,JOR,MF,0.0,0,0,0.0
917,Gael Kakuta,COD,FW,0.0,0,0,0.0
917,Stopira,CPV,DF,0.0,0,0,0.0
917,Marcio Rosa,CPV,GK,0.0,0,0,0.0
917,Payam Niazmand,IRN,GK,0.0,0,0,0.0
917,Munaf Younus,IRQ,DF,0.0,0,0,0.0
917,Ali Yousif,IRQ,FW,0.0,0,0,0.0
917,Yassine Titraoui,ALG,MF,0.0,0,0,0.0
917,Samir Chergui,ALG,DF,0.0,0,0,0.0
917,Fares Ghedjemis,ALG,FW,0.0,0,0,0.0
917,Meschack Elia,COD,FW,0.0,0,0,0.0
917,Tahsin Mohammed,QAT,FW,0.0,0,0,0.0
917,Jehad Thikri,KSA,DF,0.0,0,0,0.0
917,Danial Iri,IRN,DF,0.0,0,0,0.0
917,Hassan Kadish,KSA,DF,0.0,0,0,0.0
917,Abdallah Alfakhori,JOR,GK,0.0,0,0,0.0
917,Brian Cipenga,COD,FW,0.0,0,0,0.0
917,Anas Badawi,JOR,DF,0.0,0,0,0.0
917,Shuto Machino,JPN,FW,0.0,0,0,0.0
917,Kim Taehyeon,KOR,DF,0.0,0,0,0.0
917,Keisuke Osako,JPN,GK,0.0,0,0,0.0
917,Tomoki Hayakawa,JPN,GK,0.0,0,0,0.0
917,Nour Baniateyah,JOR,GK,0.0,0,0,0.0
917,Aaron Tshibola,COD,MF,0.0,0,0,0.0
917,Logan Costa,CPV,DF,0.0,0,0,0.0
917,Nawaf Alaqidi,KSA,GK,0.0,0,0,0.0
917,Sultan Mandash,KSA,FW,0.0,0,0,0.0
917,Achref Abada,ALG,DF,0.0,0,0,0.0
917,Amirmohammad Razaghinia,IRN,MF,0.0,0,0,0.0
917,Kevin Yakob,IRQ,MF,0.0,0,0,0.0
917,Ibrahim Sadeh,JOR,MF,0.0,0,0,0.0
917,Craig Gordon,SCO,GK,0.0,0,0,0.0
917,Jordan Henderson,ENG,MF,0.0,0,0,0.0
917,Sondre Langas,NOR,DF,0.0,0,0,0.0
917,Duje Caleta Car,CRO,DF,0.0,0,0,0.0
917,Morten Thorsby,NOR,MF,0.0,0,0,0.0
917,Samu Costa,POR,DF,0.0,0,0,0.0
917,Jorgen Strand Larsen,NOR,FW,0.0,0,0,0.0
917,David Affengruber,AUT,DF,0.0,0,0,0.0
917,Zeno Debast,BEL,DF,0.0,0,0,0.0
917,Henrik Falchener,NOR,DF,0.0,0,0,0.0
917,Ngolo Kante,FRA,MF,0.0,0,0,0.0
917,Florian Grillitsch,AUT,MF,0.0,0,0,0.0
917,Lutsharel Geertruida,NED,DF,0.0,0,0,0.0
917,Kobbie Mainoo,ENG,MF,0.0,0,0,0.0
917,Nikola Moro,CRO,MF,0.0,0,0,0.0
917,Trevoh Chalobah,ENG,DF,0.0,0,0,0.0
917,Malick Thiaw,GER,DF,0.0,0,0,0.0
917,Jorrel Hato,NED,DF,0.0,0,0,0.0
917,Joaquin Seys,BEL,DF,0.0,0,0,0.0
917,Nick Woltemade,GER,FW,0.0,0,0,0.0
917,Pascal Gross,GER,MF,0.0,0,0,0.0
917,Dejan Ljubicic,AUT,MF,0.0,0,0,0.0
917,Jose Sa,POR,GK,0.0,0,0,0.0
917,Dan Burn,ENG,DF,0.0,0,0,0.0
917,Ivor Pandur,CRO,GK,0.0,0,0,0.0
917,Kristijan Jakic,CRO,DF,0.0,0,0,0.0
917,Ivan Toney,ENG,FW,0.0,0,0,0.0
917,Jean Philippe Mateta,FRA,FW,0.0,0,0,0.0
917,Justin Kluivert,NED,MF,0.0,0,0,0.0
917,Fredrik Andre Bjorkan,NOR,DF,0.0,0,0,0.0
917,Ibrahima Konate,FRA,DF,0.0,0,0,0.0
917,Senne Lammens,BEL,GK,0.0,0,0,0.0
917,Assan Ouedraogo,GER,MF,0.0,0,0,0.0
917,Thelo Aasgaard,NOR,MF,0.0,0,0,0.0
917,James Trafford,ENG,GK,0.0,0,0,0.0
917,Florian Wiegele,AUT,GK,0.0,0,0,0.0
917,Axel Witsel,BEL,MF,0.0,0,0,0.0
917,Maxence Lacroix,FRA,DF,0.0,0,0,0.0
917,Mats Wieffer,NED,DF,0.0,0,0,0.0
917,Egil Selvik,NOR,GK,0.0,0,0,0.0
917,Lucas Hernandez,FRA,DF,0.0,0,0,0.0
917,Goncalo Inacio,POR,DF,0.0,0,0,0.0
917,Oliver Baumann,GER,GK,0.0,0,0,0.0
917,Marten De Roon,NED,MF,0.0,0,0,0.0
917,Koni De Winter,BEL,DF,0.0,0,0,0.0
917,Matheus Nunes,POR,MF,0.0,0,0,0.0
917,Robin Risser,FRA,GK,0.0,0,0,0.0
917,Diego Moreira,BEL,MF,0.0,0,0,0.0
917,Goncalo Guedes,POR,FW,0.0,0,0,0.0
917,Michael Svoboda,AUT,DF,0.0,0,0,0.0
917,Angelo Stiller,GER,MF,0.0,0,0,0.0
917,Sander Tangvik,NOR,GK,0.0,0,0,0.0
917,Robin Roefs,NED,GK,0.0,0,0,0.0
917,Jens Petter Hauge,NOR,MF,0.0,0,0,0.0
917,Jarell Quansah,ENG,DF,0.0,0,0,0.0
917,Ruben Neves,POR,MF,0.0,0,0,0.0
917,Diogo Dalot,POR,DF,0.0,0,0,0.0
917,Maximilian Beier,GER,FW,0.0,0,0,0.0
917,Toni Fruk,CRO,MF,0.0,0,0,0.0
917,Patrick Pentz,AUT,GK,0.0,0,0,0.0
917,Ollie Watkins,ENG,FW,0.0,0,0,0.0
917,Wout Weghorst,NED,FW,0.0,0,0,0.0
917,Brice Samba,FRA,GK,0.0,0,0,0.0
917,Dominik Kotarski,CRO,GK,0.0,0,0,0.0
917,Mark Flekken,NED,GK,0.0,0,0,0.0
917,Rui Silva,POR,GK,0.0,0,0,0.0
917,Warren Zaire Emery,FRA,MF,0.0,0,0,0.0
917,Martin Erlic,CRO,DF,0.0,0,0,0.0
917,Alexander Nuebel,GER,GK,0.0,0,0,0.0
917,Dean Henderson,ENG,GK,0.0,0,0,0.0
917,Mike Penders,BEL,GK,0.0,0,0,0.0
